µTester v1.2
Start date:	05.08.2021 08:19:10,264
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
3,455	-3,055179	-905,870454	22,075000	22,083000
3,491	-2,985469	-905,822721	22,075000	22,083000
4,606	-1,954935	-906,021842	22,075000	22,083000
5,134	-1,011044	-905,646617	22,077000	22,080000
5,257	-0,869570	-905,479137	22,077000	22,080000
5,343	-0,815192	-905,319669	22,077000	22,080000
5,520	-0,551018	-905,040029	22,077000	22,080000
5,638	-0,377058	-904,721368	22,077000	22,080000
5,782	-0,150667	-904,387099	22,077000	22,080000
5,901	0,125504	-904,100069	22,077000	22,080000
5,929	0,245087	-904,048548	22,077000	22,080000
6,019	0,377369	-903,844602	22,077000	22,080000
6,134	0,531464	-903,556813	22,077000	22,080000
6,256	0,819399	-903,247821	22,077000	22,080000
6,404	0,998657	-902,979370	22,075000	22,075000
6,520	1,118163	-902,704841	22,075000	22,075000
6,576	1,293526	-902,662642	22,075000	22,075000
6,695	1,298356	-902,454000	22,075000	22,075000
6,842	1,554973	-902,161653	22,075000	22,075000
7,019	1,618309	-901,831873	22,075000	22,075000
7,280	1,956337	-901,413415	22,075000	22,075000
7,518	2,084879	-901,018024	22,075000	22,075000
7,608	2,332226	-900,907936	22,075000	22,075000
7,669	2,374995	-900,687001	22,075000	22,075000
7,784	2,533843	-900,424627	22,077000	22,079000
7,904	2,754702	-900,067428	22,077000	22,079000
8,022	2,893060	-899,623831	22,077000	22,079000
8,137	3,232957	-899,237418	22,077000	22,079000
8,198	3,336025	-898,950182	22,077000	22,079000
8,317	3,648500	-898,672890	22,077000	22,079000
8,465	3,734662	-898,410516	22,077000	22,079000
8,612	4,069807	-898,152977	22,077000	22,079000
8,698	3,962844	-897,845850	22,077000	22,079000
8,759	4,188144	-897,564069	22,077000	22,079000
8,788	4,361248	-897,542314	22,077000	22,079000
8,845	4,330008	-897,268959	22,077000	22,079000
8,936	4,546894	-896,971846	22,077000	22,079000
9,022	4,683772	-896,676598	22,077000	22,079000
9,140	4,918109	-896,364222	22,070000	22,072000
9,260	5,125101	-896,006609	22,070000	22,072000
