µTester v1.2
Start date:	03.08.2021 07:30:28,358
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
150,972	-3,079330	-1068,213719	21,965000	21,957000
150,981	-3,042481	-1068,240654	21,965000	21,957000
151,652	-2,387382	-1068,136851	21,965000	21,957000
151,857	-1,963738	-1067,943886	21,965000	21,957000
151,977	-1,727531	-1067,618733	21,955000	21,966000
152,067	-1,535419	-1067,330046	21,955000	21,966000
152,246	-1,416459	-1066,981964	21,955000	21,966000
152,303	-1,291500	-1066,912762	21,955000	21,966000
152,450	-1,145585	-1066,613923	21,955000	21,966000
152,573	-1,107100	-1066,301132	21,955000	21,966000
152,689	-0,648243	-1065,903462	21,955000	21,966000
152,775	-0,455663	-1065,606073	21,955000	21,966000
152,868	-0,501315	-1065,339003	21,955000	21,966000
152,954	-0,233168	-1065,088094	21,955000	21,966000
153,073	-0,054066	-1064,770538	21,955000	21,966000
153,189	0,254280	-1064,385990	21,955000	21,966000
153,279	0,435096	-1064,123202	21,955000	21,966000
153,397	0,583972	-1063,839488	21,951000	21,958000
153,603	0,858351	-1063,696940	21,951000	21,958000
153,693	0,542605	-1063,514473	21,951000	21,958000
153,868	0,754738	-1063,216600	21,951000	21,958000
153,954	0,970456	-1062,812300	21,951000	21,958000
154,691	0,892240	-1062,363523	21,951000	21,958000
154,720	1,278646	-1061,888432	21,951000	21,958000
154,749	1,584031	-1061,373492	21,957000	21,955000
154,810	2,203839	-1060,904065	21,957000	21,955000
154,925	2,399847	-1060,642727	21,957000	21,955000
155,048	2,506031	-1060,326207	21,957000	21,955000
155,134	2,772854	-1060,030268	21,957000	21,955000
155,318	2,961538	-1059,743929	21,957000	21,955000
155,408	3,007813	-1059,493849	21,957000	21,955000
155,580	3,315536	-1059,207510	21,957000	21,955000
155,671	3,490120	-1058,807768	21,957000	21,955000
155,789	3,625050	-1058,424670	21,957000	21,955000
155,875	3,689867	-1058,171551	21,957000	21,955000
155,966	4,114602	-1057,916636	21,957000	21,955000
155,993	4,382983	-1057,785898	21,957000	21,955000
156,055	4,161345	-1057,621250	21,957000	21,955000
156,170	4,399343	-1057,270958	21,955000	21,952000
156,288	4,488855	-1056,980751	21,955000	21,952000
156,436	4,687589	-1056,660917	21,955000	21,952000
156,588	4,793851	-1056,339286	21,955000	21,952000
156,732	4,911331	-1056,064412	21,955000	21,952000
156,878	5,158444	-1055,814400	21,955000	21,952000
156,998	5,387951	-1055,588838	21,955000	21,952000
157,026	5,407582	-1055,540907	21,955000	21,952000
157,202	5,529815	-1055,264444	21,955000	21,952000
157,350	5,478398	-1054,951585	21,955000	21,952000
157,436	5,798974	-1054,683755	21,955000	21,952000
157,554	5,723096	-1054,404323	21,955000	21,952000
157,674	5,883111	-1054,104585	21,960000	21,956000
157,792	6,142689	-1053,815346	21,960000	21,956000
157,910	6,275049	-1053,461255	21,960000	21,956000
157,940	6,473627	-1053,434804	21,960000	21,956000
158,030	6,542105	-1053,133271	21,960000	21,956000
158,145	6,620633	-1052,879530	21,960000	21,956000
158,295	6,852243	-1052,565220	21,960000	21,956000
158,472	6,932017	-1052,242484	21,960000	21,956000
158,586	7,308919	-1051,970234	21,960000	21,956000
158,677	7,327148	-1051,715320	21,960000	21,956000
158,706	7,517936	-1051,642664	21,960000	21,956000
158,763	7,714723	-1051,337195	21,960000	21,956000
158,882	7,886269	-1051,025717	21,960000	21,956000
158,996	8,024705	-1050,703879	21,939000	21,946000
159,115	8,260756	-1050,375273	21,939000	21,946000
159,235	8,457620	-1050,036721	21,939000	21,946000
159,381	8,540199	-1049,812471	21,939000	21,946000
159,410	8,612416	-1049,692783	21,939000	21,946000
159,586	8,794791	-1049,412246	21,939000	21,946000
159,672	8,691333	-1049,131156	21,939000	21,946000
159,913	8,992201	-1048,755448	21,939000	21,946000
160,151	9,242274	-1048,406606	21,939000	21,946000
160,295	9,363961	-1048,153349	21,939000	21,946000
160,442	9,673163	-1047,991601	21,949000	21,950000
160,470	9,512758	-1047,835517	21,949000	21,950000
160,617	9,730345	-1047,537230	21,949000	21,950000
160,734	9,749977	-1047,267604	21,949000	21,950000
160,852	9,994441	-1046,991625	21,949000	21,950000
160,971	10,330755	-1046,629385	21,949000	21,950000
161,085	10,402972	-1046,295461	21,949000	21,950000
161,238	10,491861	-1046,012782	21,949000	21,950000
161,265	10,705398	-1046,011056	21,949000	21,950000
161,356	10,799272	-1045,691428	21,949000	21,950000
161,532	10,833395	-1045,439621	21,949000	21,950000
161,651	11,023248	-1045,163849	21,949000	21,950000
161,737	11,024572	-1044,779163	21,949000	21,950000
161,855	11,375142	-1044,447518	21,955000	21,946000
161,945	11,605038	-1044,176511	21,955000	21,946000
162,003	11,733191	-1044,093773	21,955000	21,946000
162,061	11,759912	-1043,807572	21,955000	21,946000
162,179	11,912216	-1043,528277	21,955000	21,946000
162,297	12,182934	-1043,218319	21,955000	21,946000
162,417	12,327446	-1042,890680	21,955000	21,946000
162,592	12,354791	-1042,596467	21,955000	21,946000
162,739	12,584453	-1042,320902	21,955000	21,946000
162,855	12,743378	-1042,123103	21,955000	21,946000
162,887	12,766126	-1042,055421	21,955000	21,946000
163,034	12,839902	-1041,781513	21,955000	21,946000
163,178	12,956369	-1041,477701	21,955000	21,946000
163,354	13,099246	-1041,181624	21,944000	21,951000
163,474	13,250069	-1040,912689	21,944000	21,951000
163,621	13,325948	-1040,583324	21,944000	21,951000
163,739	13,560129	-1040,320605	21,944000	21,951000
163,800	13,779430	-1040,094627	21,944000	21,951000
163,829	13,800620	-1040,034473	21,944000	21,951000
163,948	13,934382	-1039,695300	21,944000	21,951000
164,034	13,993200	-1039,426710	21,944000	21,951000
164,153	14,202451	-1039,131877	21,944000	21,951000
164,354	14,359117	-1038,834349	21,944000	21,951000
164,534	14,574912	-1038,447522	21,944000	21,951000
164,624	14,782372	-1038,193575	21,941000	21,949000
164,710	14,947529	-1037,874983	21,941000	21,949000
164,801	14,985079	-1037,617305	21,941000	21,949000
164,858	14,997778	-1037,356727	21,941000	21,949000
164,981	15,421422	-1037,044973	21,941000	21,949000
165,096	15,426953	-1036,771549	21,941000	21,949000
165,214	15,602706	-1036,347704	21,941000	21,949000
165,305	15,892121	-1036,297356	21,941000	21,949000
165,390	15,800194	-1036,055011	21,941000	21,949000
165,538	16,065848	-1035,760246	21,941000	21,949000
165,656	16,134482	-1035,461061	21,941000	21,949000
165,865	16,390164	-1035,191298	21,941000	21,949000
166,017	16,371233	-1034,924849	21,947000	21,940000
166,160	16,609465	-1034,661716	21,947000	21,940000
166,340	16,838660	-1034,399894	21,947000	21,940000
166,455	16,865615	-1034,079369	21,947000	21,940000
166,545	16,910878	-1033,994420	21,947000	21,940000
166,607	17,039809	-1033,821622	21,947000	21,940000
166,697	17,173961	-1033,560215	21,947000	21,940000
166,840	17,322057	-1033,233267	21,947000	21,940000
166,958	17,385627	-1032,929386	21,947000	21,940000
167,078	17,717734	-1032,607755	21,947000	21,940000
167,193	17,716877	-1032,308018	21,947000	21,940000
167,312	17,938749	-1032,168923	21,947000	21,940000
167,462	17,895123	-1031,931551	21,939000	21,950000
167,577	18,037532	-1031,635059	21,939000	21,950000
167,696	18,292435	-1031,323581	21,939000	21,950000
167,816	18,429469	-1030,936133	21,939000	21,950000
167,905	18,703148	-1030,653454	21,939000	21,950000
167,994	18,742411	-1030,347086	21,939000	21,950000
168,025	18,964985	-1030,355098	21,939000	21,950000
168,142	18,895182	-1030,002043	21,939000	21,950000
168,258	19,145645	-1029,673713	21,939000	21,950000
168,380	19,397432	-1029,400151	21,939000	21,950000
168,528	19,484841	-1029,135084	21,939000	21,950000
168,675	19,580274	-1028,765592	21,939000	21,950000
168,827	19,773867	-1028,503495	21,941000	21,942000
168,970	19,970731	-1028,332285	21,941000	21,942000
169,002	19,996284	-1028,252862	21,941000	21,942000
