µTester v1.2
Start date:	03.08.2021 11:21:03,608
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
141,453	-2,512029	-878,052826	22,749000	22,763000
141,488	-2,468915	-878,030611	22,749000	22,763000
142,776	-1,041894	-877,976165	22,736000	22,760000
143,628	0,022047	-877,912488	22,736000	22,760000
143,779	0,176454	-877,777745	22,736000	22,760000
143,955	0,445068	-877,512539	22,733000	22,765000
144,099	0,769384	-877,256934	22,733000	22,765000
144,189	1,056385	-877,095877	22,733000	22,765000
144,275	0,918572	-876,906918	22,733000	22,765000
144,484	1,347358	-876,632803	22,733000	22,765000
144,574	1,399787	-876,333687	22,733000	22,765000
144,717	1,656327	-876,000799	22,733000	22,765000
144,840	1,878121	-875,555752	22,733000	22,765000
144,897	2,116898	-875,290477	22,733000	22,765000
145,012	2,471831	-875,039775	22,733000	22,765000
145,336	2,260476	-874,772014	22,752000	22,753000
145,659	2,672668	-874,404871	22,752000	22,753000
145,689	2,963018	-873,879985	22,752000	22,753000
145,717	3,098260	-873,441291	22,752000	22,753000
145,749	3,478824	-872,659902	22,752000	22,753000
145,778	3,715575	-872,001171	22,752000	22,753000
145,840	4,532014	-871,204311	22,752000	22,753000
145,926	5,172233	-870,869697	22,752000	22,753000
146,159	5,069789	-870,575346	22,752000	22,753000
146,516	5,192722	-870,289560	22,752000	22,753000
146,663	5,607018	-869,964683	22,752000	22,753000
146,695	5,719979	-869,703415	22,752000	22,753000
146,811	5,979713	-869,378814	22,744000	22,753000
146,901	6,020535	-869,100280	22,744000	22,753000
147,020	6,265700	-868,808347	22,744000	22,753000
147,134	6,501906	-868,518140	22,744000	22,753000
147,315	6,522785	-868,254454	22,744000	22,753000
147,344	6,617283	-868,158110	22,744000	22,753000
147,457	6,696044	-867,952990	22,744000	22,753000
147,576	6,992315	-867,629149	22,744000	22,753000
147,662	7,113145	-867,373406	22,744000	22,753000
147,720	7,178273	-867,095907	22,744000	22,753000
147,834	7,371866	-866,756734	22,744000	22,753000
147,929	7,729447	-866,486694	22,744000	22,753000
148,020	7,736692	-866,184885	22,744000	22,753000
148,137	8,032495	-865,872716	22,743000	22,754000
148,285	8,125981	-865,595563	22,743000	22,754000
148,399	8,416642	-865,298864	22,743000	22,754000
148,575	8,702396	-864,974264	22,743000	22,754000
148,723	8,700682	-864,695384	22,743000	22,754000
148,752	8,786143	-864,636818	22,743000	22,754000
148,899	8,735817	-864,363256	22,743000	22,754000
149,075	9,112797	-864,082304	22,743000	22,754000
149,194	8,965635	-863,828977	22,743000	22,754000
149,342	9,336071	-863,571852	22,743000	22,754000
149,489	9,622759	-863,309271	22,743000	22,754000
149,575	9,690614	-863,030944	22,740000	22,766000
149,698	9,789163	-862,691288	22,740000	22,766000
149,814	9,990624	-862,390929	22,740000	22,766000
149,931	10,380380	-862,066052	22,740000	22,766000
150,022	10,473554	-861,795529	22,740000	22,766000
150,140	10,363319	-861,522796	22,740000	22,766000
150,345	10,581841	-861,260422	22,740000	22,766000
150,460	10,774577	-860,962756	22,740000	22,766000
150,492	10,807920	-860,887270	22,740000	22,766000
150,554	10,847262	-860,704457	22,740000	22,766000
150,640	11,167215	-860,427787	22,740000	22,766000
150,730	11,251742	-860,171837	22,740000	22,766000
150,816	11,406538	-859,840882	22,740000	22,766000
150,935	11,543727	-859,550814	22,741000	22,758000
151,050	11,655910	-859,202870	22,741000	22,758000
151,141	11,879963	-858,959282	22,741000	22,758000
151,197	11,860643	-858,860244	22,741000	22,758000
151,377	12,215186	-858,431012	22,741000	22,758000
151,578	12,295116	-858,083966	22,741000	22,758000
