µTester v1.2
Start date:	16.08.2021 16:22:40,375
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
12,581	-7,882997	-1022,311778	22,465000	22,419000
12,592	-7,808679	-1022,237163	22,465000	22,419000
12,760	-6,856111	-1021,562141	22,465000	22,416000
12,787	-6,171904	-1020,689212	22,465000	22,416000
13,023	-5,692090	-1020,180604	22,465000	22,416000
13,081	-5,540565	-1019,720915	22,465000	22,416000
13,141	-5,162261	-1019,515035	22,465000	22,416000
13,170	-5,006608	-1018,224990	22,465000	22,416000
13,200	-4,676449	-1017,936303	22,465000	22,416000
13,232	-4,110863	-1017,898594	22,465000	22,416000
13,289	-3,522528	-1017,203812	22,465000	22,416000
13,318	-3,281959	-1016,350389	22,465000	22,416000
13,346	-2,847252	-1016,073374	22,465000	22,416000
13,404	-2,111289	-1015,654708	22,465000	22,416000
13,466	-1,879835	-1015,330453	22,465000	22,416000
13,494	-1,734621	-1015,233902	22,465000	22,416000
13,551	-1,724182	-1014,950740	22,465000	22,416000
13,613	-1,511892	-1014,436697	22,465000	22,416000
13,699	-1,023976	-1014,106641	22,465000	22,416000
13,880	-0,714773	-1014,045036	22,465000	22,416000
13,994	-0,759335	-1013,813603	22,465000	22,416000
14,113	-0,484566	-1013,541905	22,465000	22,416000
14,233	-0,289649	-1013,257915	22,463000	22,413000
14,322	-0,257864	-1012,995679	22,463000	22,413000
14,436	-0,083514	-1012,711619	22,463000	22,413000
14,555	0,229117	-1012,457533	22,463000	22,413000
14,641	0,468673	-1012,277345	22,463000	22,413000
14,669	0,328835	-1012,180311	22,463000	22,413000
14,818	0,607343	-1011,781674	22,463000	22,413000
14,970	0,810596	-1011,509631	22,463000	22,413000
15,117	1,052022	-1011,189934	22,463000	22,413000
15,292	1,182979	-1010,826106	22,463000	22,413000
15,382	1,503322	-1010,755660	22,463000	22,413000
15,468	1,455100	-1010,349288	22,463000	22,413000
15,498	1,605767	-1009,893328	22,463000	22,413000
15,559	1,914658	-1009,265469	22,455000	22,421000
15,587	2,132946	-1008,843833	22,455000	22,421000
15,644	2,722683	-1008,704462	22,455000	22,421000
15,673	2,814844	-1008,521581	22,455000	22,421000
15,850	3,180216	-1008,267771	22,455000	22,421000
15,939	3,271754	-1008,014998	22,455000	22,421000
