µTester v1.2
Start date:	16.08.2021 18:41:07,467
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
226,953	-2,444097	-760,273389	23,173000	23,151000
226,956	-2,488892	-760,314067	23,173000	23,151000
227,849	-1,761965	-759,990227	23,172000	23,159000
227,878	-1,698863	-759,939119	23,172000	23,159000
227,994	-1,443959	-759,710656	23,172000	23,159000
228,087	-1,359978	-759,341510	23,172000	23,159000
228,259	-1,162880	-759,045087	23,172000	23,159000
228,373	-0,898083	-758,777672	23,172000	23,159000
228,525	-0,878139	-758,505767	23,172000	23,159000
228,645	-0,552031	-758,330414	23,172000	23,159000
228,673	-0,655566	-758,242565	23,172000	23,159000
228,849	-0,508794	-757,887991	23,172000	23,159000
229,000	-0,300555	-757,629899	23,172000	23,159000
229,144	-0,238466	-757,353781	23,172000	23,159000
229,325	-0,059129	-756,978695	23,172000	23,159000
229,444	0,179570	-756,704097	23,174000	23,150000
229,561	0,405103	-756,431985	23,174000	23,150000
229,652	0,438291	-756,132524	23,174000	23,150000
229,660	0,449587	-756,147235	23,174000	23,150000
229,746	0,569871	-755,795009	23,174000	23,150000
229,831	0,746714	-755,499830	23,174000	23,150000
229,954	1,071965	-755,235384	23,174000	23,150000
230,070	1,060825	-754,882053	23,174000	23,150000
230,246	1,151272	-754,622857	23,174000	23,150000
230,365	1,380545	-754,315660	23,174000	23,150000
230,422	1,518046	-754,212617	23,174000	23,150000
230,483	1,734699	-754,052596	23,174000	23,150000
230,569	1,676504	-753,691944	23,174000	23,150000
230,656	1,711873	-753,396074	23,174000	23,150000
230,712	1,929070	-753,145303	23,169000	23,163000
230,803	2,096331	-752,856064	23,169000	23,163000
230,889	2,316957	-752,481530	23,169000	23,163000
230,975	2,427503	-752,229930	23,169000	23,163000
231,035	2,539919	-752,056994	23,169000	23,163000
231,065	2,675940	-751,924046	23,169000	23,163000
231,126	2,589233	-751,659463	23,169000	23,163000
231,310	2,978599	-751,279404	23,169000	23,163000
231,433	3,079486	-750,911155	23,169000	23,163000
231,614	3,227816	-750,540075	23,169000	23,163000
231,790	3,344205	-750,175832	23,169000	23,163000
231,908	3,644838	-750,029347	23,169000	23,163000
231,966	3,722821	-749,911939	23,169000	23,163000
232,084	3,736688	-749,636581	23,169000	23,163000
232,228	3,883148	-749,278830	23,169000	23,146000
232,346	3,955911	-748,961965	23,169000	23,146000
232,472	4,155155	-748,590649	23,169000	23,146000
232,585	4,517446	-748,309587	23,169000	23,146000
232,671	4,554295	-747,989476	23,169000	23,146000
232,732	4,723971	-747,743332	23,169000	23,146000
232,789	4,753263	-747,481304	23,169000	23,146000
232,908	4,812470	-747,152076	23,169000	23,146000
233,023	5,096666	-746,827269	23,169000	23,146000
233,170	5,219054	-746,514893	23,169000	23,146000
233,318	5,541189	-746,259080	23,169000	23,146000
233,408	5,533164	-745,852984	23,169000	23,146000
233,474	5,688428	-745,579698	23,162000	23,152000
233,523	5,813293	-745,468997	23,162000	23,152000
233,551	5,694816	-745,223950	23,162000	23,152000
233,637	6,072887	-744,952943	23,162000	23,152000
233,731	6,186627	-744,552235	23,162000	23,152000
233,822	6,521227	-744,290690	23,162000	23,152000
233,912	6,443868	-743,890464	23,162000	23,152000
234,026	6,767327	-743,563309	23,162000	23,152000
234,055	7,010155	-743,513168	23,162000	23,152000
234,113	6,721675	-743,310051	23,162000	23,152000
234,227	6,833935	-742,996570	23,162000	23,152000
234,350	7,115560	-742,689719	23,162000	23,152000
234,494	7,225873	-742,372440	23,162000	23,152000
234,608	7,363530	-742,078297	23,162000	23,152000
234,788	7,500096	-741,734566	23,162000	23,152000
234,912	7,716515	-741,462247	23,162000	23,152000
235,050	7,730460	-741,151459	23,167000	23,153000
235,198	7,873882	-740,889569	23,167000	23,153000
235,284	8,030080	-740,731412	23,167000	23,153000
235,345	8,223517	-740,539484	23,167000	23,153000
235,488	8,252498	-740,150516	23,167000	23,153000
235,608	8,467748	-739,845046	23,167000	23,153000
235,665	8,599095	-739,586540	23,167000	23,153000
235,813	8,614598	-739,147294	23,167000	23,153000
235,926	9,034269	-738,757497	23,167000	23,153000
236,045	9,180729	-738,432206	23,167000	23,153000
236,230	9,081635	-738,083364	23,167000	23,153000
236,348	9,251311	-737,822786	23,166000	23,152000
236,493	9,428076	-737,413583	23,166000	23,152000
236,613	9,667544	-736,985138	23,166000	23,152000
236,698	9,894724	-736,718109	23,166000	23,152000
236,787	10,045780	-736,310494	23,166000	23,152000
236,906	10,339402	-735,948668	23,166000	23,152000
236,993	10,260797	-735,665161	23,166000	23,152000
237,111	10,540240	-735,286000	23,166000	23,152000
237,254	10,737183	-734,980461	23,166000	23,152000
237,369	11,057526	-734,659659	23,166000	23,152000
237,488	10,910987	-734,349839	23,166000	23,152000
237,631	11,181238	-734,036427	23,166000	23,152000
237,807	11,320531	-733,715072	23,172000	23,158000
237,950	11,514747	-733,334254	23,172000	23,158000
238,155	11,572007	-732,953090	23,172000	23,158000
238,245	11,842959	-732,685330	23,172000	23,158000
238,388	11,893441	-732,359279	23,172000	23,158000
238,478	12,156758	-732,108094	23,172000	23,158000
238,600	12,238060	-731,657551	23,172000	23,158000
238,687	12,385953	-731,336304	23,172000	23,158000
238,806	12,532725	-730,935803	23,172000	23,158000
238,892	12,700453	-730,600843	23,172000	23,158000
239,006	12,960576	-730,260841	23,172000	23,158000
239,122	13,172710	-730,065598	23,172000	23,158000
239,150	13,003969	-729,931821	23,172000	23,158000
239,330	13,240175	-729,584153	23,173000	23,148000
239,416	13,343087	-729,302580	23,173000	23,148000
239,507	13,615908	-728,908156	23,173000	23,148000
239,593	13,594796	-728,617880	23,173000	23,148000
239,651	13,813240	-728,355852	23,173000	23,148000
239,773	14,126260	-727,948927	23,173000	23,148000
239,801	14,193258	-727,839875	23,173000	23,148000
239,888	14,237975	-727,559407	23,173000	23,148000
239,973	14,283160	-727,260636	23,173000	23,148000
240,006	14,516640	-727,157455	23,173000	23,148000
240,068	14,481738	-726,971811	23,173000	23,148000
240,186	14,603192	-726,711509	23,173000	23,148000
240,273	14,707428	-726,445199	23,173000	23,148000
240,424	14,981106	-726,165007	23,173000	23,148000
240,514	14,876013	-725,904360	23,173000	23,148000
240,662	15,298956	-725,660150	23,163000	23,150000
240,691	15,056440	-725,565601	23,163000	23,150000
240,891	15,182567	-725,196869	23,163000	23,150000
241,064	15,420254	-724,941885	23,163000	23,150000
241,158	15,418306	-724,662176	23,163000	23,150000
241,273	15,556742	-724,402427	23,163000	23,150000
241,390	15,707332	-724,109734	23,163000	23,150000
241,537	15,903962	-723,750878	23,163000	23,150000
241,629	15,941980	-723,492924	23,163000	23,150000
241,722	16,295276	-723,205066	23,163000	23,150000
241,812	16,276969	-722,850699	23,163000	23,150000
241,870	16,386425	-722,742821	23,163000	23,150000
241,928	16,519797	-722,552896	23,163000	23,150000
242,046	16,532651	-722,256888	23,168000	23,153000
242,194	16,714948	-721,954802	23,168000	23,153000
242,312	16,759977	-721,667289	23,168000	23,153000
242,459	16,982829	-721,363071	23,168000	23,153000
242,550	17,091538	-720,986733	23,168000	23,153000
242,636	17,237609	-720,680642	23,168000	23,153000
242,665	17,478645	-720,543136	23,168000	23,153000
242,722	17,491294	-720,318601	23,168000	23,153000
242,808	17,695609	-719,972875	23,168000	23,153000
242,930	17,989075	-719,597444	23,168000	23,153000
243,053	18,050698	-719,139619	23,168000	23,153000
243,173	18,045634	-718,795198	23,168000	23,153000
243,287	18,178617	-718,535172	23,168000	23,153000
243,406	18,467798	-718,214232	23,165000	23,146000
243,435	18,540639	-718,200903	23,165000	23,146000
243,524	18,503634	-717,943985	23,165000	23,146000
243,672	18,740853	-717,652259	23,165000	23,146000
243,816	18,715690	-717,351279	23,165000	23,146000
243,931	18,758226	-717,035311	23,165000	23,146000
244,110	19,021855	-716,701111	23,165000	23,146000
244,254	19,286029	-716,379550	23,165000	23,146000
244,373	19,248805	-716,107321	23,165000	23,146000
244,488	19,514211	-715,793888	23,165000	23,146000
244,607	19,493021	-715,368661	23,165000	23,146000
244,635	19,744964	-715,338066	23,165000	23,146000
244,693	19,703597	-715,089160	23,165000	23,146000
244,750	19,944477	-714,822504	23,165000	23,146000
244,872	19,979534	-714,471314	23,159000	23,149000
244,987	20,251343	-714,164532	23,159000	23,149000
245,130	20,366720	-713,806712	23,159000	23,149000
245,283	20,496664	-713,539711	23,159000	23,149000
245,397	20,606276	-713,245361	23,159000	23,149000
245,487	20,702098	-712,822413	23,159000	23,149000
245,548	20,927554	-712,584695	23,159000	23,149000
245,577	20,876604	-712,499954	23,159000	23,149000
245,663	21,304923	-712,230259	23,159000	23,149000
245,724	21,261764	-711,966643	23,159000	23,149000
245,810	21,381503	-711,562619	23,159000	23,149000
245,929	21,622228	-711,275451	23,159000	23,149000
246,015	21,509656	-710,900779	23,159000	23,149000
246,110	21,764871	-710,632742	23,159000	23,149000
246,163	21,947713	-710,549728	23,162000	23,159000
246,253	21,893881	-710,347785	23,162000	23,159000
246,375	22,109442	-710,041486	23,162000	23,159000
246,491	22,075320	-709,733945	23,162000	23,159000
246,666	22,326952	-709,393598	23,162000	23,159000
246,814	22,478865	-709,109952	23,162000	23,159000
246,929	22,668407	-708,817398	23,162000	23,159000
247,072	22,724109	-708,523393	23,162000	23,159000
247,247	22,798507	-708,200105	23,162000	23,159000
247,277	22,957043	-708,125032	23,162000	23,159000
247,367	22,917779	-707,926473	23,162000	23,159000
247,453	23,080755	-707,643104	23,162000	23,159000
247,602	23,284549	-707,301201	23,162000	23,159000
247,690	23,279957	-706,933956	23,172000	23,158000
247,809	23,485079	-706,603762	23,172000	23,158000
247,899	23,617595	-706,323086	23,172000	23,158000
248,014	23,772625	-705,939712	23,172000	23,158000
248,042	23,969100	-706,068516	23,172000	23,158000
248,186	23,927343	-705,661523	23,172000	23,158000
248,363	24,065779	-705,347627	23,172000	23,158000
248,449	23,980708	-705,077035	23,172000	23,158000
248,534	24,181389	-704,744492	23,172000	23,158000
248,657	24,500720	-704,365953	23,172000	23,158000
248,743	24,607838	-704,057306	23,172000	23,158000
248,832	24,784993	-703,653697	23,172000	23,158000
248,919	24,981468	-703,445469	23,172000	23,158000
248,948	25,149976	-703,265489	23,172000	23,158000
249,037	25,052517	-702,992617	23,172000	23,158000
249,157	25,166024	-702,708627	23,164000	23,156000
249,272	25,368420	-702,358265	23,164000	23,156000
249,386	25,578996	-702,100657	23,164000	23,156000
249,508	25,773056	-701,824194	23,164000	23,156000
249,657	25,794168	-701,486679	23,164000	23,156000
249,776	25,905571	-701,233698	23,164000	23,156000
249,783	26,061614	-701,276656	23,164000	23,156000
249,923	25,905259	-700,976020	23,164000	23,156000
250,070	26,064340	-700,585326	23,164000	23,156000
250,214	26,187118	-700,292012	23,164000	23,156000
250,336	26,389202	-700,012441	23,164000	23,156000
250,454	26,616138	-699,692813	23,164000	23,156000
250,570	26,696847	-699,276012	23,167000	23,158000
250,688	26,843073	-698,926342	23,167000	23,158000
250,775	27,155314	-698,594766	23,167000	23,158000
250,890	27,114492	-698,227899	23,167000	23,158000
251,033	27,342558	-697,816308	23,167000	23,158000
251,209	27,552004	-697,501899	23,167000	23,158000
251,327	27,657097	-697,239456	23,167000	23,158000
251,471	27,644944	-696,783427	23,167000	23,158000
251,528	27,845704	-696,499022	23,167000	23,158000
251,619	28,235070	-696,196108	23,167000	23,158000
251,704	28,202896	-695,929452	23,167000	23,158000
251,794	28,375298	-695,605819	23,167000	23,158000
251,881	28,630124	-695,330461	23,167000	23,158000
251,966	28,687384	-695,036318	23,165000	23,144000
252,041	28,785392	-694,764271	23,165000	23,144000
252,147	29,024009	-694,502937	23,165000	23,144000
252,265	29,081346	-694,252926	23,165000	23,144000
