µTester v1.2
Start date:	16.08.2021 17:52:09,858
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
224,574	-2,507270	-884,865300	23,003000	22,967000
224,576	-2,398969	-884,925329	23,003000	22,967000
225,584	-1,625798	-884,535852	23,004000	22,981000
225,613	-1,523733	-884,241780	23,004000	22,981000
225,644	-1,476367	-884,163117	23,004000	22,981000
225,674	-1,387011	-883,885065	23,004000	22,981000
225,769	-1,057008	-883,455074	23,004000	22,981000
225,855	-0,989465	-883,179440	23,004000	22,981000
226,412	-0,861078	-882,639222	23,006000	22,967000
226,441	-0,645984	-882,087332	23,006000	22,967000
226,469	-0,473270	-881,785937	23,006000	22,967000
226,497	-0,281391	-881,484957	23,006000	22,967000
226,619	0,333137	-881,053528	23,006000	22,967000
226,674	0,307021	-880,739205	23,006000	22,967000
226,765	0,650424	-880,551696	23,006000	22,967000
226,793	0,687507	-880,394092	23,006000	22,967000
226,912	0,859364	-879,955675	23,006000	22,967000
227,002	1,009252	-879,654763	23,006000	22,967000
227,174	1,286592	-879,264828	23,006000	22,967000
227,316	1,420120	-878,929869	23,006000	22,967000
227,435	1,622750	-878,598845	23,006000	22,967000
227,466	1,663961	-878,631789	23,006000	22,967000
227,611	1,691531	-878,287528	22,999000	22,961000
227,788	1,943483	-877,927820	22,999000	22,961000
227,931	2,036890	-877,667104	22,999000	22,961000
228,081	2,226720	-877,389705	22,999000	22,961000
228,198	2,365881	-877,043595	22,999000	22,961000
228,316	2,497150	-876,775282	22,999000	22,961000
228,374	2,678979	-876,602001	22,999000	22,961000
228,432	2,695572	-876,490255	22,999000	22,961000
228,608	3,039053	-875,966544	22,999000	22,961000
228,697	3,221973	-875,715704	22,999000	22,961000
228,755	3,288659	-875,451672	22,999000	22,961000
228,870	3,449376	-875,035562	22,999000	22,961000
229,016	3,704046	-874,696459	23,006000	22,969000
229,193	3,807347	-874,422482	23,006000	22,969000
229,311	3,938616	-874,165702	23,006000	22,969000
229,431	4,070898	-873,757880	23,006000	22,969000
229,579	4,302061	-873,439658	23,006000	22,969000
229,608	4,527340	-873,047765	23,006000	22,969000
229,693	4,781698	-872,832355	23,006000	22,969000
229,722	4,802265	-872,721438	23,006000	22,969000
229,779	4,807173	-872,458374	23,006000	22,969000
229,869	5,018372	-872,177146	23,006000	22,969000
229,984	5,268289	-871,927065	23,006000	22,969000
230,102	5,405401	-871,536233	23,006000	22,969000
230,217	5,562924	-871,231592	23,010000	22,976000
230,335	5,587620	-870,913760	23,010000	22,976000
230,364	5,794768	-870,944010	23,010000	22,976000
230,512	5,801545	-870,559945	23,010000	22,976000
230,689	6,110514	-870,261313	23,010000	22,976000
230,836	6,138794	-869,880495	23,010000	22,976000
231,008	6,384738	-869,620193	23,010000	22,976000
231,154	6,504555	-869,325911	23,010000	22,976000
231,270	6,599754	-869,052556	23,010000	22,976000
231,388	6,774884	-868,714143	23,010000	22,976000
231,417	6,874757	-868,679611	23,010000	22,976000
231,512	6,882158	-868,350453	23,010000	22,976000
231,650	7,128648	-868,026958	23,010000	22,976000
231,769	7,307283	-867,639371	23,004000	22,955000
231,855	7,584155	-867,383904	23,004000	22,955000
231,971	7,679199	-867,090796	23,004000	22,955000
