µTester v1.2
Start date:	05.08.2021 08:55:14,842
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
105,198	-3,189175	-951,040110	22,305000	22,279000
105,202	-3,048402	-951,103925	22,305000	22,279000
105,750	-2,228379	-951,164011	22,299000	22,264000
106,549	-1,192016	-950,946183	22,299000	22,264000
106,635	-1,076406	-950,829811	22,299000	22,264000
106,959	-0,751233	-950,567022	22,299000	22,264000
107,108	-0,631416	-950,261276	22,286000	22,270000
107,340	-0,358672	-949,964923	22,286000	22,270000
107,430	-0,161730	-949,747786	22,286000	22,270000
107,488	0,174272	-949,687701	22,286000	22,270000
107,577	0,088655	-949,394386	22,286000	22,270000
107,693	0,298530	-949,088917	22,286000	22,270000
107,811	0,452313	-948,725710	22,286000	22,270000
107,962	0,886864	-948,587720	22,286000	22,270000
108,019	0,671147	-948,442133	22,286000	22,270000
108,253	0,899485	-948,060003	22,286000	22,270000
108,343	1,159530	-947,732433	22,286000	22,270000
108,430	1,367924	-947,469575	22,286000	22,270000
108,495	1,400722	-947,207823	22,292000	22,273000
108,609	1,720208	-946,780594	22,292000	22,273000
108,671	1,827795	-946,519187	22,292000	22,273000
108,700	1,985629	-946,446256	22,292000	22,273000
108,760	2,127805	-946,243415	22,292000	22,273000
108,851	2,077868	-945,964328	22,292000	22,273000
108,970	2,320229	-945,673361	22,292000	22,273000
109,117	2,491696	-945,328733	22,292000	22,273000
109,207	2,746288	-944,894321	22,292000	22,273000
109,265	3,020200	-944,648591	22,292000	22,273000
109,293	3,036950	-944,456525	22,292000	22,273000
109,650	2,967771	-944,177990	22,292000	22,273000
109,707	3,347866	-943,420635	22,292000	22,273000
109,737	3,711992	-942,684552	22,292000	22,273000
109,765	3,877539	-941,741139	22,292000	22,273000
109,797	4,432063	-941,128680	22,292000	22,273000
109,854	5,107962	-940,576446	22,292000	22,273000
109,912	5,334508	-940,282855	22,303000	22,270000
109,945	5,498809	-940,185060	22,303000	22,270000
110,060	5,572350	-940,030357	22,303000	22,270000
110,207	5,760568	-939,753964	22,303000	22,270000
110,326	5,840809	-939,456091	22,303000	22,270000
110,412	5,984621	-939,128797	22,303000	22,270000
110,506	6,139962	-938,867528	22,303000	22,270000
110,564	6,514293	-938,522899	22,303000	22,270000
110,621	6,580278	-938,209211	22,303000	22,270000
110,677	6,691214	-937,951948	22,303000	22,270000
110,739	6,972683	-937,629489	22,303000	22,270000
110,801	6,967386	-937,344807	22,303000	22,270000
110,919	7,162848	-937,044725	22,303000	22,270000
111,099	7,449536	-936,760389	22,303000	22,270000
111,186	7,551124	-936,549882	22,303000	22,270000
111,215	7,457794	-936,465348	22,303000	22,270000
111,300	7,697195	-936,198278	22,292000	22,273000
111,363	7,766530	-935,903444	22,292000	22,273000
111,453	8,022757	-935,515097	22,292000	22,273000
111,572	8,221102	-935,253829	22,292000	22,273000
111,689	8,302045	-934,957337	22,292000	22,273000
111,805	8,561934	-934,717409	22,292000	22,273000
111,832	8,360084	-934,556352	22,292000	22,273000
111,952	8,611326	-934,252195	22,292000	22,273000
112,075	8,762382	-933,998178	22,292000	22,273000
112,247	9,014949	-933,669365	22,292000	22,273000
112,394	9,027258	-933,344212	22,292000	22,273000
112,575	9,181742	-933,082460	22,292000	22,273000
112,787	9,470456	-932,822365	22,292000	22,274000
112,934	9,407743	-932,561096	22,292000	22,274000
112,993	9,562461	-932,481535	22,292000	22,274000
113,079	9,607178	-932,299689	22,292000	22,274000
113,198	9,740551	-931,973846	22,292000	22,274000
113,320	9,914511	-931,715478	22,292000	22,274000
113,410	10,031446	-931,450134	22,292000	22,274000
113,553	10,188969	-931,053777	22,292000	22,274000
113,672	10,448624	-930,701551	22,292000	22,274000
113,700	10,666835	-930,690431	22,292000	22,274000
113,791	10,694880	-930,411551	22,292000	22,274000
113,907	10,902418	-930,152216	22,292000	22,274000
114,086	10,964196	-929,851788	22,292000	22,274000
114,234	11,034778	-929,505433	22,296000	22,266000
114,348	11,307287	-929,172614	22,296000	22,266000
114,439	11,478989	-928,864313	22,296000	22,266000
114,524	11,640329	-928,599246	22,296000	22,266000
114,586	11,804006	-928,430246	22,296000	22,266000
114,615	11,745967	-928,212557	22,296000	22,266000
114,729	11,964100	-927,889821	22,296000	22,266000
114,819	12,131127	-927,611977	22,296000	22,266000
114,937	12,256320	-927,333650	22,296000	22,266000
115,028	12,419685	-927,062367	22,296000	22,266000
115,171	12,495486	-926,762284	22,296000	22,266000
115,347	12,757713	-926,412959	22,296000	22,266000
115,412	12,817855	-926,274140	22,296000	22,266000
115,528	12,966497	-926,103621	22,295000	22,263000
115,675	13,010669	-925,804022	22,295000	22,263000
115,851	13,331791	-925,547243	22,295000	22,263000
115,970	13,259495	-925,238182	22,295000	22,263000
116,117	13,416083	-924,983612	22,295000	22,263000
116,207	13,625880	-924,725175	22,295000	22,263000
116,327	13,794076	-924,406652	22,295000	22,263000
116,412	13,942250	-924,204986	22,295000	22,263000
116,445	14,012130	-924,076043	22,295000	22,263000
116,536	14,065573	-923,774925	22,295000	22,263000
116,654	14,232211	-923,437824	22,295000	22,263000
116,773	14,442319	-923,064879	22,295000	22,263000
116,892	14,574601	-922,800502	22,295000	22,263000
117,096	14,860043	-922,476316	22,281000	22,273000
117,182	15,016319	-922,291225	22,281000	22,273000
117,215	14,930468	-922,164631	22,281000	22,273000
117,305	15,134967	-921,907022	22,281000	22,273000
117,363	15,142290	-921,617368	22,281000	22,273000
117,452	15,401089	-921,266455	22,281000	22,273000
117,568	15,680766	-920,960502	22,281000	22,273000
117,657	15,795208	-920,602751	22,281000	22,273000
117,743	16,037569	-920,430989	22,281000	22,273000
117,773	15,972986	-920,271935	22,281000	22,273000
117,895	16,063043	-919,930483	22,281000	22,273000
118,010	16,318570	-919,658164	22,281000	22,273000
118,161	16,417119	-919,369753	22,281000	22,273000
118,276	16,545895	-919,097779	22,281000	22,273000
118,423	16,720479	-918,843141	22,292000	22,268000
118,568	16,748057	-918,578833	22,292000	22,268000
118,718	16,773766	-918,326750	22,292000	22,268000
118,805	17,065050	-918,147322	22,292000	22,268000
118,867	16,996650	-918,071006	22,292000	22,268000
118,957	17,063960	-917,810083	22,292000	22,268000
119,108	17,310683	-917,522017	22,292000	22,268000
119,287	17,591061	-917,181325	22,292000	22,268000
119,373	17,575325	-916,913564	22,292000	22,268000
119,493	17,793379	-916,558369	22,292000	22,268000
119,608	17,832721	-916,273135	22,292000	22,268000
119,698	18,003254	-916,012557	22,292000	22,268000
119,726	18,112320	-915,964419	22,292000	22,268000
119,816	18,265013	-915,626973	22,286000	22,265000
119,930	18,312457	-915,372127	22,286000	22,265000
120,020	18,456658	-915,351684	22,286000	22,265000
120,111	18,395970	-915,074531	22,286000	22,265000
120,229	18,563621	-914,810223	22,286000	22,265000
120,349	18,845245	-914,521191	22,286000	22,265000
120,435	19,029879	-914,218069	22,286000	22,265000
120,524	19,182650	-913,912323	22,286000	22,265000
120,611	19,167770	-913,531022	22,286000	22,265000
120,698	19,380060	-913,269546	22,286000	22,265000
120,815	19,518184	-912,989491	22,286000	22,265000
120,930	19,828400	-912,609433	22,286000	22,265000
121,052	19,820921	-912,353689	22,286000	22,265000
121,198	20,124748	-911,997665	22,273000	22,268000
121,287	20,184501	-911,858777	22,273000	22,268000
121,372	20,172582	-911,609249	22,273000	22,268000
121,581	20,384871	-911,358340	22,273000	22,268000
121,733	20,511622	-910,999415	22,273000	22,268000
121,905	20,782184	-910,727856	22,273000	22,268000
