µTester v1.2
Start date:	03.08.2021 13:58:58,250
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
157,844	-2,702272	-1100,529824	22,795000	22,795000
157,878	-2,701664	-1100,537334	22,795000	22,795000
158,072	-2,534388	-1100,225321	22,795000	22,795000
158,221	-2,385201	-1099,914740	22,795000	22,795000
158,458	-2,324825	-1099,644286	22,795000	22,795000
158,638	-2,096409	-1099,364992	22,795000	22,795000
158,753	-1,675413	-1098,974159	22,795000	22,795000
158,844	-1,511892	-1098,624489	22,795000	22,795000
158,961	-1,410460	-1098,288009	22,793000	22,788000
159,081	-1,093389	-1097,951875	22,793000	22,788000
159,195	-0,982921	-1097,646544	22,793000	22,788000
159,313	-0,775773	-1097,348602	22,793000	22,788000
159,372	-0,482696	-1097,203706	22,793000	22,788000
159,399	-0,684547	-1097,082223	22,793000	22,788000
159,519	-0,463843	-1096,796851	22,793000	22,788000
159,638	-0,398014	-1096,544491	22,793000	22,788000
159,785	-0,242828	-1096,202210	22,793000	22,788000
159,965	-0,083046	-1095,933897	22,793000	22,788000
160,080	0,015347	-1095,518547	22,793000	22,788000
160,256	0,276717	-1095,219638	22,793000	22,788000
160,404	0,300010	-1094,924390	22,793000	22,788000
160,432	0,536372	-1094,985995	22,782000	22,793000
160,521	0,563639	-1094,670857	22,782000	22,793000
160,641	0,620509	-1094,401922	22,782000	22,793000
160,761	0,839888	-1094,052804	22,782000	22,793000
160,908	1,007227	-1093,695398	22,782000	22,793000
160,998	1,150259	-1093,330741	22,782000	22,793000
161,178	1,439752	-1093,033144	22,782000	22,793000
161,210	1,505893	-1092,783064	22,782000	22,793000
161,239	1,626801	-1092,671595	22,782000	22,793000
161,296	1,681568	-1092,442233	22,782000	22,793000
161,534	1,860047	-1092,016247	22,782000	22,793000
161,682	2,009390	-1091,438459	22,782000	22,793000
161,743	2,208592	-1090,727170	22,797000	22,795000
161,772	2,493021	-1090,431369	22,797000	22,795000
161,800	2,678044	-1090,297730	22,797000	22,795000
161,829	2,882855	-1089,783204	22,797000	22,795000
161,861	3,045597	-1089,511438	22,797000	22,795000
161,920	3,314601	-1088,874047	22,797000	22,795000
161,980	3,614767	-1088,412424	22,797000	22,795000
162,009	3,842170	-1088,293427	22,797000	22,795000
162,066	4,076741	-1087,532135	22,797000	22,795000
162,215	4,437516	-1087,265825	22,797000	22,795000
162,305	4,470314	-1086,859867	22,797000	22,795000
162,455	4,656973	-1086,522214	22,797000	22,795000
162,600	4,804524	-1086,230557	22,797000	22,795000
162,718	4,875183	-1086,088147	22,797000	22,795000
162,746	4,818469	-1085,908927	22,797000	22,795000
162,897	4,994455	-1085,621759	22,797000	22,795000
163,045	5,175505	-1085,317325	22,797000	22,795000
163,221	5,248034	-1084,933744	22,797000	22,795000
163,426	5,467335	-1084,620401	22,783000	22,787000
163,574	5,717876	-1084,329297	22,783000	22,787000
163,663	5,621197	-1083,970993	22,783000	22,787000
163,750	5,914195	-1083,841568	22,783000	22,787000
163,808	5,923310	-1083,706202	22,783000	22,787000
163,897	6,086052	-1083,455224	22,783000	22,787000
164,045	6,176577	-1082,886759	22,783000	22,787000
164,188	6,598196	-1082,628460	22,783000	22,787000
164,278	6,492324	-1082,329759	22,783000	22,787000
164,431	6,792334	-1081,940791	22,783000	22,787000
164,519	6,784700	-1081,512802	22,783000	22,787000
164,578	6,943235	-1081,377230	22,783000	22,787000
164,605	7,030566	-1081,222526	22,783000	22,787000
164,664	7,172898	-1080,950553	22,775000	22,785000
164,782	7,258826	-1080,618908	22,775000	22,785000
164,839	7,413934	-1080,360816	22,775000	22,785000
164,926	7,612045	-1080,095403	22,775000	22,785000
164,983	7,692442	-1079,810860	22,775000	22,785000
165,044	7,769023	-1079,526248	22,775000	22,785000
165,101	7,980222	-1079,373064	22,775000	22,785000
165,163	7,979520	-1079,273060	22,775000	22,785000
165,278	8,225699	-1078,874906	22,775000	22,785000
165,429	8,354319	-1078,482278	22,775000	22,785000
165,487	8,318327	-1078,201395	22,775000	22,785000
165,605	8,565829	-1077,933841	22,775000	22,785000
165,725	8,697410	-1077,669948	22,775000	22,785000
165,900	8,938992	-1077,351287	22,775000	22,785000
166,016	9,016429	-1077,151693	22,775000	22,785000
166,077	8,915620	-1077,088776	22,788000	22,784000
