µTester v1.2
Start date:	04.08.2021 10:41:46,436
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
3,114	-2,657088	-1025,557229	22,470000	22,450000
3,149	-2,641993	-1025,543701	22,470000	22,450000
3,757	-1,946521	-1025,568072	22,471000	22,452000
4,380	-1,181110	-1025,252104	22,471000	22,452000
4,585	-1,104685	-1024,919216	22,471000	22,452000
4,613	-0,896447	-1024,916108	22,471000	22,452000
4,704	-0,746325	-1024,594547	22,471000	22,452000
4,822	-0,631961	-1024,299644	22,454000	22,448000
4,970	-0,351817	-1024,024908	22,454000	22,448000
5,146	-0,273600	-1023,769371	22,454000	22,448000
5,383	0,048301	-1023,413900	22,454000	22,448000
5,412	0,261058	-1023,386067	22,454000	22,448000
5,470	0,159626	-1023,151871	22,454000	22,448000
5,588	0,400663	-1022,838597	22,454000	22,448000
5,707	0,694362	-1022,422142	22,454000	22,448000
5,821	0,884839	-1022,072609	22,454000	22,448000
5,911	1,046646	-1021,754501	22,454000	22,448000
6,026	1,146832	-1021,402413	22,454000	22,448000
6,059	1,359121	-1021,370299	22,454000	22,448000
6,145	1,306068	-1021,127332	22,454000	22,448000
6,297	1,707666	-1020,824279	22,454000	22,448000
6,444	1,689280	-1020,495881	22,455000	22,454000
6,621	1,893156	-1020,215412	22,455000	22,454000
6,764	2,078179	-1019,926311	22,455000	22,454000
7,005	2,103732	-1019,606614	22,455000	22,454000
7,152	2,366738	-1019,349489	22,455000	22,454000
7,211	2,580196	-1019,082833	22,455000	22,454000
7,300	2,685523	-1018,819078	22,455000	22,454000
7,415	2,864547	-1018,549384	22,455000	22,454000
7,506	2,998854	-1018,273473	22,455000	22,454000
7,624	3,080420	-1017,914341	22,455000	22,454000
7,742	3,255082	-1017,557488	22,476000	22,461000
7,771	3,513024	-1017,406445	22,476000	22,461000
7,829	3,581424	-1017,137717	22,476000	22,461000
7,948	3,778289	-1016,768226	22,476000	22,461000
8,127	4,011535	-1016,437824	22,476000	22,461000
8,423	4,181444	-1016,062185	22,476000	22,461000
8,483	4,364831	-1015,765625	22,476000	22,461000
8,545	4,352055	-1015,266776	22,476000	22,461000
8,574	4,658375	-1015,198472	22,476000	22,461000
8,603	4,585612	-1014,902810	22,476000	22,461000
8,632	4,771337	-1014,552241	22,476000	22,461000
8,688	5,222949	-1013,925003	22,476000	22,461000
8,718	5,213522	-1013,667809	22,476000	22,461000
8,775	5,686325	-1013,333954	22,476000	22,461000
8,837	6,025754	-1013,050032	22,476000	22,461000
8,865	5,861688	-1012,717282	22,476000	22,461000
8,955	6,241238	-1012,431565	22,476000	22,461000
9,046	6,297018	-1012,163942	22,476000	22,461000
9,132	6,686696	-1012,069256	22,476000	22,461000
9,164	6,639252	-1011,911859	22,464000	22,454000
9,283	6,570073	-1011,623586	22,464000	22,454000
9,401	6,715365	-1011,363699	22,464000	22,454000
9,578	6,981486	-1011,084474	22,464000	22,454000
9,725	7,000028	-1010,817542	22,464000	22,454000
9,905	7,136360	-1010,540664	22,464000	22,454000
10,110	7,349273	-1010,236645	22,464000	22,454000
10,229	7,308607	-1009,970266	22,464000	22,454000
10,348	7,490904	-1009,706442	22,464000	22,454000
10,405	7,710516	-1009,526116	22,464000	22,454000
10,466	7,623887	-1009,339574	22,464000	22,454000
10,581	7,863988	-1009,084728	22,470000	22,462000
10,700	8,073162	-1008,760266	22,470000	22,462000
10,822	8,102921	-1008,387874	22,470000	22,462000
10,937	8,382520	-1008,079434	22,470000	22,462000
11,085	8,490262	-1007,784462	22,470000	22,462000
11,262	8,802581	-1007,560695	22,470000	22,462000
11,290	8,600497	-1007,486452	22,470000	22,462000
11,404	8,759266	-1007,192585	22,470000	22,462000
11,498	9,018610	-1006,890844	22,470000	22,462000
11,589	9,124560	-1006,591729	22,470000	22,462000
11,703	9,354223	-1006,198617	22,470000	22,462000
11,793	9,641378	-1005,933135	22,470000	22,462000
11,880	9,612710	-1005,659711	22,470000	22,462000
11,970	9,752159	-1005,404313	22,462000	22,454000
12,031	9,869561	-1005,307693	22,462000	22,454000
12,089	9,857407	-1005,137105	22,462000	22,454000
12,207	10,067672	-1004,862921	22,462000	22,454000
12,322	10,110831	-1004,519190	22,462000	22,454000
12,470	10,326314	-1004,252189	22,462000	22,454000
12,645	10,543590	-1003,900101	22,462000	22,454000
12,850	10,636530	-1003,614522	22,462000	22,454000
13,002	10,733677	-1003,253594	22,462000	22,454000
13,179	10,801454	-1002,984935	22,462000	22,454000
13,207	10,883799	-1002,919739	22,462000	22,454000
13,326	10,943707	-1002,714205	22,462000	22,454000
13,469	11,100217	-1002,424482	22,458000	22,444000
13,584	11,251352	-1002,095531	22,458000	22,444000
13,702	11,409498	-1001,773416	22,458000	22,444000
13,796	11,605973	-1001,497368	22,458000	22,444000
13,939	11,803071	-1001,145211	22,458000	22,444000
14,029	12,036240	-1000,925381	22,458000	22,444000
14,059	12,075348	-1000,826136	22,458000	22,444000
14,206	12,105263	-1000,492350	22,458000	22,444000
14,443	12,038732	-1000,109391	22,458000	22,444000
14,559	12,492292	-999,762276	22,458000	22,444000
14,619	12,542541	-999,465992	22,458000	22,444000
14,739	12,787628	-999,131929	22,458000	22,444000
14,828	12,925908	-998,810920	22,455000	22,449000
14,887	13,032949	-998,557939	22,455000	22,449000
14,915	13,173255	-998,564915	22,455000	22,449000
15,001	13,144430	-998,281891	22,455000	22,449000
15,147	13,411721	-997,924071	22,455000	22,449000
15,267	13,493520	-997,629582	22,455000	22,449000
15,357	13,605235	-997,374875	22,455000	22,449000
15,504	13,727779	-997,067955	22,455000	22,449000
15,681	13,836456	-996,764419	22,455000	22,449000
15,828	14,006443	-996,504877	22,455000	22,449000
16,005	14,027789	-996,140841	22,455000	22,449000
16,032	14,321255	-996,213496	22,455000	22,449000
16,185	14,295858	-995,829017	22,457000	22,451000
16,361	14,408197	-995,448061	22,457000	22,451000
16,483	14,495839	-995,166073	22,457000	22,451000
16,602	14,763519	-994,792437	22,457000	22,451000
16,722	14,899930	-994,519635	22,457000	22,451000
16,807	14,904993	-994,214718	22,457000	22,451000
16,926	15,262341	-993,868846	22,457000	22,451000
17,017	15,375225	-993,641280	22,457000	22,451000
17,044	15,261562	-993,593074	22,457000	22,451000
17,278	15,481876	-993,301071	22,457000	22,451000
17,397	15,721432	-992,996500	22,457000	22,451000
17,483	15,895159	-992,721556	22,457000	22,451000
17,602	15,847637	-992,337699	22,452000	22,446000
17,692	16,148582	-992,061512	22,452000	22,446000
17,778	16,221735	-991,767853	22,452000	22,446000
17,868	16,401382	-991,484967	22,452000	22,446000
17,982	16,385022	-991,191514	22,452000	22,446000
18,101	16,711442	-990,921958	22,452000	22,446000
18,220	16,718064	-990,626917	22,452000	22,446000
18,371	16,896855	-990,320481	22,452000	22,446000
18,486	16,868887	-990,038700	22,452000	22,446000
18,662	17,018152	-989,751808	22,452000	22,446000
18,839	17,250385	-989,460013	22,452000	22,446000
18,958	17,445536	-989,296677	22,452000	22,446000
19,047	17,413673	-989,143010	22,451000	22,449000
19,194	17,614043	-988,881051	22,451000	22,449000
19,342	17,550785	-988,478201	22,451000	22,449000
19,518	17,805766	-988,191310	22,451000	22,449000
19,604	17,873855	-987,914847	22,451000	22,449000
19,723	18,104452	-987,599501	22,451000	22,449000
19,838	18,297421	-987,273381	22,451000	22,449000
19,924	18,321104	-986,991048	22,451000	22,449000
19,956	18,470837	-986,930824	22,451000	22,449000
20,047	18,445206	-986,737031	22,451000	22,449000
20,198	18,556999	-986,451659	22,451000	22,449000
20,342	18,664585	-986,196537	22,453000	22,448000
20,461	18,799749	-985,922837	22,453000	22,448000
20,546	18,905076	-985,650380	22,453000	22,448000
20,637	19,036267	-985,387660	22,453000	22,448000
20,718	19,183351	-985,043308	22,453000	22,448000
20,809	19,389330	-984,780036	22,453000	22,448000
20,841	19,487723	-984,624021	22,453000	22,448000
20,899	19,480323	-984,496598	22,453000	22,448000
21,013	19,694482	-984,137880	22,453000	22,448000
21,103	19,833463	-983,883034	22,453000	22,448000
21,219	19,859951	-983,595798	22,453000	22,448000
21,369	20,169154	-983,310425	22,453000	22,448000
21,521	20,068969	-983,029197	22,453000	22,448000
21,664	20,246201	-982,775318	22,453000	22,448000
21,784	20,410658	-982,507074	22,453000	22,448000
21,816	20,584852	-982,513359	22,453000	22,448000
21,960	20,552677	-982,196010	22,454000	22,446000
22,111	20,780626	-981,940060	22,454000	22,446000
22,255	20,843495	-981,615252	22,454000	22,446000
22,406	20,878162	-981,317794	22,454000	22,446000
22,521	21,073469	-980,994160	22,454000	22,446000
22,640	21,138441	-980,639655	22,454000	22,446000
22,754	21,463536	-980,370030	22,454000	22,446000
22,841	21,407134	-980,076508	22,454000	22,446000
22,873	21,752406	-980,008342	22,454000	22,446000
22,959	21,684240	-979,763234	22,454000	22,446000
23,106	21,801720	-979,446645	22,454000	22,446000
23,286	21,967423	-979,159340	22,452000	22,445000
23,401	22,104456	-978,890543	22,452000	22,445000
23,496	22,163586	-978,608624	22,452000	22,445000
23,586	22,257772	-978,313997	22,452000	22,445000
23,644	22,468115	-978,062121	22,452000	22,445000
23,762	22,592294	-977,687519	22,452000	22,445000
23,849	22,762282	-977,479291	22,452000	22,445000
23,876	22,803727	-977,400489	22,452000	22,445000
24,000	22,997865	-977,031135	22,452000	22,445000
24,089	23,179616	-976,763237	22,452000	22,445000
24,262	23,229942	-976,413014	22,452000	22,445000
24,413	23,381856	-976,144700	22,452000	22,445000
24,561	23,309872	-975,858085	22,452000	22,445000
24,741	23,476744	-975,584109	22,465000	22,446000
24,917	23,649847	-975,303847	22,465000	22,446000
25,064	23,713184	-975,041474	22,465000	22,446000
25,094	23,812668	-975,019166	22,465000	22,446000
25,183	23,655846	-974,741874	22,465000	22,446000
25,363	23,986784	-974,422178	22,465000	22,446000
25,544	24,105978	-974,007863	22,465000	22,446000
25,690	24,358310	-973,725116	22,465000	22,446000
25,776	24,535309	-973,453902	22,465000	22,446000
25,924	24,492462	-973,068732	22,465000	22,446000
26,011	24,837423	-972,797380	22,465000	22,446000
26,158	24,932233	-972,544468	22,454000	22,445000
26,363	24,905511	-972,217174	22,454000	22,445000
26,481	25,206067	-971,905351	22,454000	22,445000
26,600	25,314042	-971,447181	22,454000	22,445000
26,719	25,714783	-971,145441	22,454000	22,445000
26,806	25,722885	-970,856615	22,454000	22,445000
26,894	25,927228	-970,535192	22,454000	22,445000
26,985	25,749373	-970,247955	22,454000	22,445000
27,103	26,043540	-969,944005	22,454000	22,445000
27,224	26,109681	-969,671479	22,454000	22,445000
27,370	26,398550	-969,391563	22,454000	22,445000
27,485	26,325009	-969,116550	22,456000	22,452000
27,661	26,633432	-968,809630	22,456000	22,452000
27,838	26,847280	-968,516869	22,456000	22,452000
27,988	26,706741	-968,207186	22,456000	22,452000
28,103	26,959229	-968,024719	22,456000	22,452000
28,165	26,899320	-967,885970	22,456000	22,452000
28,312	27,020773	-967,627602	22,456000	22,452000
28,431	27,291803	-967,337672	22,456000	22,452000
28,551	27,302009	-966,995322	22,456000	22,452000
28,665	27,437406	-966,700419	22,456000	22,452000
28,784	27,578725	-966,323675	22,456000	22,452000
28,897	27,796624	-966,019104	22,457000	22,446000
29,046	27,938644	-965,719988	22,457000	22,446000
29,106	28,041244	-965,615563	22,457000	22,446000
29,165	28,074198	-965,468457	22,457000	22,446000
29,341	28,097569	-965,147103	22,457000	22,446000
29,460	28,261246	-964,847434	22,457000	22,446000
29,549	28,538508	-964,543899	22,457000	22,446000
29,636	28,587977	-964,265157	22,457000	22,446000
29,726	28,757887	-963,973914	22,457000	22,446000
29,840	28,889779	-963,654286	22,457000	22,446000
29,868	29,057196	-963,577280	22,457000	22,446000
29,930	29,003987	-963,339839	22,457000	22,446000
30,050	29,155200	-963,040032	22,457000	22,446000
30,135	29,304075	-962,788432	22,457000	22,446000
30,283	29,370762	-962,483791	22,453000	22,445000
30,459	29,599333	-962,151939	22,453000	22,445000
30,578	29,613356	-961,899649	22,453000	22,445000
30,782	29,738626	-961,586030	22,453000	22,445000
30,963	29,847225	-961,228900	22,453000	22,445000
31,139	29,957538	-960,888692	22,453000	22,445000
31,286	30,073693	-960,682743	22,453000	22,445000
31,344	30,129629	-960,506492	22,453000	22,445000
31,463	30,175982	-960,246812	22,453000	22,445000
31,581	30,382351	-959,937129	22,453000	22,445000
31,699	30,444752	-959,661771	22,465000	22,441000
31,819	30,579138	-959,295802	22,465000	22,441000
31,937	30,759798	-959,039022	22,465000	22,441000
32,057	30,967180	-958,724712	22,465000	22,441000
32,114	31,079051	-958,561514	22,465000	22,441000
32,236	31,080687	-958,400319	22,465000	22,441000
32,379	31,121041	-958,142711	22,465000	22,441000
32,502	31,244675	-957,736339	22,465000	22,441000
32,617	31,399627	-957,417609	22,465000	22,441000
32,679	31,621266	-957,165457	22,465000	22,441000
32,765	31,640898	-956,874352	22,465000	22,441000
32,884	31,952593	-956,507623	22,465000	22,441000
32,912	32,145641	-956,417702	22,465000	22,441000
32,974	32,102793	-956,224875	22,465000	22,441000
33,060	32,032290	-955,960292	22,465000	22,441000
33,178	32,346712	-955,667806	22,447000	22,441000
33,326	32,497613	-955,275109	22,447000	22,441000
33,502	32,602784	-954,880477	22,447000	22,441000
33,739	32,721588	-954,525144	22,447000	22,441000
33,944	32,843665	-954,227616	22,447000	22,441000
34,062	33,044035	-953,930296	22,447000	22,441000
34,186	33,160892	-953,684774	22,447000	22,441000
34,215	33,117577	-953,640366	22,447000	22,441000
