1;P1E00002.dat;2;P2E00002.dat;3;P3E00002.dat;4;P4E00002.dat;5;P5E00002.dat;6;P6E00002.dat;7;P7E00002.dat;8;P8E00002.dat;9;P9E00002.dat;10;P10E00002.dat;11;P11E00002.dat;12;P12E00002.dat;13;P13E00002.dat;14;P14E00002.dat;15;P15E00002.dat;16;P16E00002.dat;17;P17E00002.dat;18;P18E00002.dat;19;P19E00002.dat;20;P20E00002.dat
Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress;Strain;Stress
0,0;0,05245601417552637;0,0;0,08658395197743023;0,0;0,054022302076790804;0,0;-0,031558674231113755;0,0;-0,014999172082626168;0,0;-0,036937324564099414;0,0;0,02011586397589862;0,0;-0,004039581147524118;0,0;-0,0077264062985600394;0,0;0,018171058647491585;0,0;0,019526164844756673;0,0;-0,021011889991728705;0,0;0,019441830294169165;0,0;-0,02032312925170069;0,0;0,022644246723079485;0,0;-0,02139980236126281;0,0;-0,49619517714594175;0,0;0,029269783423573507;0,0;0,029111705657872872;0,0;0,02497238209685239
0,00033764777327975495;0,045254638315613965;-0,0002316425702811541;0,11669608014744495;-0,00010817269076251688;0,057816435168501164;-0,00013422799999989366;-0,029395908196991404;0,0;-0,029761249327317156;-0,0001451204819279455;-0,03284979613580021;8,885999999984051e-05;0,02456409145309726;-3,0282258065074443e-05;-0,003977041288650276;0,00014737401574789182;-0,009259815601367455;-9,799999997994746e-07;0,024225341867908094;5,4438631790547826e-05;0,021094704684317758;-0,0001350480000000971;-0,014130066170388745;0,0001901713147410112;0,026619474675919737;-0,0002557715430860796;-0,005813440527726226;5,991164658666547e-05;0,024179214368674304;-0,0001977258064516168;-0,02236417537837417;0,00029965863453812984;-0,4884804791712083;0,0;0,024525406080799634;-0,00023963672654684989;0,04034252115480335;-0,0001627120000002833;0,020250458541521743
0,0013930202429153296;0,11691359182822601;0,0013477188755017318;0,19467200708394686;0,00030870682730965493;0,1252682735968534;-0,00024945600000046394;0,01019264628659095;0,0;0,07347663203212319;5,880321285178479e-05;0,013382096830372666;0,0003066439999997783;0,1717950146506541;0,0012278346774196288;0,01322923738402353;0,00020800787401559697;0,06158292758727854;2,76000000667409e-07;0,12726121202044974;-4,363380281699229e-05;0,09336204746664453;0,0012751960000000509;0,04075909842845327;-0,0006031394422310645;0,13272773138662083;-0,0004965971943885071;0,07870758606472893;-0,00038692369477883907;0,13358086527293844;0,0003483830645162441;0,11598138035054875;0,0030105903614458113;-0,38959764566659405;1,1080000003858004e-06;0,18361859641815906;0,0013151616766469876;0,12052036668325863;0,00113264799999979;0,09687717411928405
0,002668886639676644;0,1369702939337086;0,00192130923694759;0,2321720328250327;0,001083666666666917;0,16888849991248034;0,0011964639999996506;0,08837707601857478;0,0;0,18383346442025086;0,0011580000000002287;0,1216425922511115;0,0005613519999997152;0,28156565969212993;0,002480177419354937;0,028574852393589655;0,0012281968503936775;0,13453216616595876;0,00023674800000026154;0,23368011970572344;0,0012278672032196745;0,17289683694251634;0,0034026399999997924;0,06514857320099258;0,0008917808764940365;0,22991484848796864;0,0003764609218437189;0,1855271078128221;-0,0007167108433733744;0,23794145097063213;0,0012899354838707717;0,14494388100067618;0,006516329317269101;-0,3185724518077917;0,0014406760000001669;0,2696428571428571;0,0024891017964075797;0,1311045088767214;0,001337079999999787;0,1035288723040921
0,003795999999999776;0,14628413591828227;0,0029126104417670088;0,22172012232164;0,0023895020080323803;0,19320939858526995;0,0015288000000000465;0,11783157092698797;0,0;0,29595603758744876;0,0022214176706822843;0,17268025078369906;0,0011003240000000004;0,2974963889232801;0,0035707177419354707;0,034785224958341014;0,0017551496062994348;0,17152729721330154;0,0014909520000001067;0,25610364104908767;0,0025674567404426595;0,1808382517976641;0,005345820000000004;0,09681937551695617;0,0015590318725097934;0,24448162601291176;0,0008428817635273639;0,19744320758606473;0,001261734939758976;0,33081414883026383;0,0027416693548387213;0,17242336297914396;0,00855893172690758;-0,2687645978013765;0,001917768000000251;0,291008954602249;0,0028031257485029576;0,1360163638626182;0,002250931999999921;0,13039877300613498
0,004686279352227179;0,18252418178027938;0,0039998835341367635;0,24239927513102213;0,0035488875502009813;0,21299008453372598;0,0023592239999998127;0,12718444002841817;0,0;0,4004274123442481;0,0033966144578315206;0,19965558219107915;0,002161148000000139;0,32521026783871904;0,004696903225806182;0,0582804624657985;0,0022617086614173595;0,17544949756552364;0,0029178120000005947;0,2745039278440501;0,002579963782696628;0,20247651606467437;0,0066704679999998;0,12189350703060381;0,0021943625498008724;0,2500806210809197;0,001896144288577456;0,23095928674500102;0,002860742971887864;0,3478036336485814;0,004295604838709492;0,2001378270140948;0,010405072289156679;-0,2530353046204312;0,0024470719999999347;0,29440774677217824;0,003913113772455063;0,14528258254521317;0,003727515999999923;0,1392513650833808
0,00498266801619396;0,18847623514696688;0,005052759036144713;0,26873343561124785;0,004946807228915747;0,22523872283028393;0,0035067920000001317;0,14863366316244683;0,0;0,5147509003601441;0,00463477108433766;0,222911877394636;0,003183567999999923;0,3586711237670753;0,00627284274193493;0,10158478882511467;0,0034488464566927507;0,19239759660209257;0,0041739440000001194;0,307839685772476;0,0038739718309862624;0,2180758759715699;0,008209207999999761;0,1570761993382961;0,003308466135458132;0,27728112354691575;0,003121579158316932;0,24330900845186562;0,004247016064256976;0,38117668408826944;0,005693592741935511;0,21753638113070167;0,011231899598393543;-0,2137648573178454;0,003918688000000657;0,3041823198667221;0,00562964471057916;0,17950389912062384;0,004913207999999941;0,16002782872683577
0,006077623481781814;0,2171484260996456;0,006563566265059714;0,2780383233286313;0,005224726907631138;0,2381050442231855;0,004669828000000052;0,1855560589367902;0,0;0,6362821335430724;0,004513562248995956;0,2439574241399799;0,003827796000000035;0,3882820560439107;0,007682802419354527;0,11840482215227631;0,004777917322834902;0,20226779239614623;0,005834515999999894;0,3166148842429029;0,005060704225352365;0,22995957853609877;0,009521975999999996;0,17192090570719604;0,004578031872510005;0,29519280073310616;0,004309366733467046;0,27142115027829317;0,005509582329317341;0,38367305458768874;0,006919201612903188;0,2487516513236595;0,01641280321285123;-0,1976070505434275;0,005119848000000275;0,33726166180758016;0,006729980039920351;0,18650810934129747;0,005982867999999599;0,18794056880231066
0,007532720647773369;0,23366468626224726;0,007952891566265136;0,3035382666982424;0,006424883534136424;0,2531290863973806;0,005849436000000424;0,19614429423090785;0,0;0,749170530281078;0,006308670682730633;0,25509066322453744;0,004583631999999852;0,37406338987247745;0,009039576612902663;0,12883828097677383;0,005837259842519684;0,2218306226043717;0,005942808000000696;0,3584343696745501;0,006166281690140486;0,2590696828629619;0,01103116;0,21206513647642677;0,005909780876493867;0,31850300141061155;0,0051796553106212735;0,291720263863121;0,005715939759036164;0,4538930023228803;0,00877501209677414;0,2504777656420659;0,01757218875502029;-0,16333437139920898;0,006132324000000153;0,35577249062890454;0,008886538922155808;0,19982184337149492;0,007070487999999841;0,19004290262053847
