µTester v1.2
Start date:	06.08.2021 15:20:36,858
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
100,152	-3,042637	-718,409476	22,275000	22,283000
100,156	-3,027835	-718,394558	22,275000	22,283000
101,320	-1,972853	-718,505820	22,269000	22,284000
101,938	-0,966483	-718,587937	22,269000	22,284000
102,474	-0,070893	-718,095304	22,277000	22,282000
102,532	0,092940	-717,697151	22,277000	22,282000
102,675	0,414763	-717,351969	22,277000	22,282000
102,827	0,438836	-717,037590	22,277000	22,282000
104,059	1,115981	-716,986207	22,274000	22,286000
104,118	1,346033	-716,700421	22,274000	22,286000
104,149	1,501063	-716,407451	22,274000	22,286000
104,178	1,649549	-716,123253	22,274000	22,286000
104,236	1,847426	-715,709768	22,274000	22,286000
104,293	2,122819	-715,291448	22,274000	22,286000
104,354	2,392524	-714,934042	22,274000	22,286000
104,411	2,660983	-714,460816	22,274000	22,286000
104,469	3,130123	-714,194713	22,274000	22,286000
104,584	3,200783	-713,896426	22,274000	22,286000
104,735	3,268871	-713,629494	22,274000	22,286000
104,911	3,521905	-713,364910	22,274000	22,286000
105,149	3,786235	-713,058267	22,275000	22,285000
105,359	4,017144	-712,808186	22,275000	22,285000
105,416	4,357664	-712,660044	22,275000	22,285000
105,534	4,297132	-712,425848	22,275000	22,285000
105,710	4,490647	-712,111262	22,275000	22,285000
105,887	4,728100	-711,747710	22,275000	22,285000
106,005	5,132346	-711,487477	22,275000	22,285000
106,152	5,232843	-711,060662	22,275000	22,285000
106,271	5,375875	-710,869355	22,275000	22,285000
106,300	5,456584	-710,794007	22,275000	22,285000
106,534	5,703697	-710,388671	22,265000	22,276000
106,709	5,985634	-710,050603	22,265000	22,276000
106,828	6,105606	-709,687258	22,265000	22,276000
106,914	6,378895	-709,443600	22,265000	22,276000
106,947	6,433428	-709,368044	22,265000	22,276000
107,033	6,563529	-709,046966	22,265000	22,276000
107,156	6,902725	-708,778100	22,265000	22,276000
107,271	7,050899	-708,432159	22,265000	22,276000
107,418	7,243557	-708,179040	22,265000	22,276000
107,536	7,317099	-707,914525	22,265000	22,276000
107,566	7,398976	-707,898917	22,265000	22,276000
107,652	7,334471	-707,642275	22,265000	22,276000
107,893	7,678731	-707,333629	22,265000	22,276000
108,099	7,900292	-707,078645	22,263000	22,278000
108,274	8,061008	-706,754321	22,263000	22,278000
108,480	8,291216	-706,491671	22,263000	22,278000
108,541	8,467202	-706,395810	22,263000	22,278000
108,627	8,384624	-706,217142	22,263000	22,278000
108,749	8,531474	-705,941784	22,263000	22,278000
108,868	8,841144	-705,668015	22,263000	22,278000
109,015	8,949898	-705,313924	22,263000	22,278000
109,135	9,127443	-704,995609	22,263000	22,278000
109,253	9,426128	-704,733304	22,263000	22,278000
109,315	9,493048	-704,697667	22,263000	22,284000
109,487	9,505980	-704,439989	22,263000	22,284000
109,634	9,742265	-704,135487	22,263000	22,284000
109,753	9,975666	-703,857919	22,263000	22,284000
109,872	10,177673	-703,462873	22,263000	22,284000
109,987	10,490537	-703,184891	22,263000	22,284000
110,047	10,502846	-703,018931	22,263000	22,284000
110,076	10,575375	-702,912434	22,263000	22,284000
110,195	10,789612	-702,618153	22,263000	22,284000
110,315	11,003304	-702,302600	22,263000	22,284000
110,433	11,037972	-702,049273	22,263000	22,284000
110,552	11,193002	-701,771913	22,263000	22,284000
110,732	11,275502	-701,478460	22,266000	22,279000
110,761	11,548012	-701,488060	22,266000	22,279000
110,909	11,505243	-701,223062	22,266000	22,279000
111,059	11,655365	-700,945494	22,266000	22,279000
111,232	11,767002	-700,669239	22,266000	22,279000
111,440	12,112586	-700,327718	22,266000	22,279000
111,616	12,210356	-699,970450	22,266000	22,279000
111,764	12,672563	-699,710908	22,266000	22,279000
111,882	12,696168	-699,360685	22,266000	22,279000
112,001	12,844888	-698,985737	22,266000	22,279000
112,145	13,044557	-698,723639	22,265000	22,281000
112,236	13,260508	-698,438129	22,265000	22,281000
112,415	13,315431	-698,185010	22,265000	22,281000
112,591	13,621050	-697,899776	22,265000	22,281000
112,649	13,651822	-697,644032	22,265000	22,281000
112,681	13,850245	-697,708469	22,265000	22,281000
112,796	13,951209	-697,253960	22,265000	22,281000
112,914	14,239689	-696,894206	22,265000	22,281000
113,034	14,346652	-696,602411	22,265000	22,281000
113,149	14,679148	-696,279537	22,265000	22,281000
113,268	14,864561	-696,054320	22,265000	22,281000
113,300	14,869781	-695,927518	22,265000	22,281000
