µTester v1.2
Start date:	02.08.2021 15:31:10,467
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
295,024	-2,543737	-1078,326677	22,415000	22,409000
295,052	-2,612827	-1078,243278	22,415000	22,409000
295,728	-1,925331	-1077,982601	22,415000	22,409000
295,785	-1,732907	-1077,667462	22,415000	22,409000
295,847	-1,643550	-1077,389065	22,415000	22,409000
295,933	-1,295863	-1077,169166	22,415000	22,409000
295,961	-1,238759	-1077,095958	22,415000	22,409000
296,051	-0,963678	-1076,825504	22,415000	22,409000
296,228	-0,805221	-1076,466095	22,413000	22,404000
296,285	-0,897070	-1076,161524	22,413000	22,404000
296,346	-0,646841	-1075,887685	22,413000	22,404000
296,405	-0,599631	-1075,600379	22,413000	22,404000
296,433	-0,470231	-1075,339732	22,413000	22,404000
296,523	-0,229351	-1075,054498	22,413000	22,404000
296,584	-0,070815	-1074,793299	22,413000	22,404000
296,670	0,107041	-1074,379951	22,413000	22,404000
296,789	0,229896	-1074,020681	22,413000	22,404000
296,995	0,417412	-1073,710584	22,413000	22,404000
297,170	0,506067	-1073,419480	22,413000	22,404000
297,317	0,821736	-1073,178930	22,413000	22,404000
297,346	0,763620	-1073,080652	22,413000	22,404000
297,432	0,655021	-1072,830434	22,413000	22,404000
297,584	0,853755	-1072,547272	22,413000	22,409000
297,670	0,961107	-1072,272259	22,413000	22,409000
297,789	1,276776	-1072,001321	22,413000	22,409000
297,908	1,356395	-1071,607450	22,413000	22,409000
297,994	1,449646	-1071,345974	22,413000	22,409000
298,054	1,548663	-1071,092717	22,413000	22,409000
298,202	1,810500	-1070,813768	22,413000	22,409000
298,260	1,963816	-1070,682753	22,413000	22,409000
298,288	1,784246	-1070,521420	22,413000	22,409000
298,435	1,924474	-1070,245648	22,413000	22,409000
298,669	2,153980	-1069,816347	22,413000	22,409000
298,759	2,329655	-1069,539331	22,413000	22,409000
298,850	2,477674	-1069,052362	22,413000	22,409000
298,877	2,577547	-1068,735566	22,413000	22,409000
298,936	2,654672	-1068,433204	22,422000	22,392000
298,997	2,912225	-1068,159366	22,422000	22,392000
299,026	3,128877	-1068,070964	22,422000	22,392000
299,054	3,062736	-1067,888290	22,422000	22,392000
299,172	3,266223	-1067,614106	22,422000	22,392000
299,349	3,226258	-1067,156420	22,422000	22,392000
299,526	2,937310	-1066,874915	22,422000	22,392000
299,676	3,367343	-1066,490644	22,422000	22,392000
299,791	2,497539	-1066,191735	22,422000	22,392000
299,968	3,061412	-1065,843998	22,422000	22,392000
300,030	3,187929	-1065,807671	22,422000	22,392000
300,148	3,370381	-1065,530172	22,422000	22,392000
300,295	4,003900	-1065,183816	22,422000	22,392000
300,472	3,715965	-1064,796782	22,414000	22,420000
300,619	3,260458	-1064,516176	22,414000	22,420000
300,680	4,494698	-1064,316029	22,414000	22,420000
300,708	4,663829	-1064,223207	22,414000	22,420000
300,824	4,743057	-1063,880512	22,414000	22,420000
300,946	4,908449	-1063,559572	22,414000	22,420000
301,033	5,022345	-1063,265290	22,414000	22,420000
301,123	5,183919	-1063,007406	22,414000	22,420000
301,213	5,298127	-1062,663053	22,414000	22,420000
301,298	5,448404	-1062,407448	22,414000	22,420000
301,328	5,507690	-1062,351161	22,414000	22,420000
301,447	5,637634	-1062,142104	22,414000	22,420000
301,565	5,747324	-1061,888916	22,414000	22,420000
301,684	5,941773	-1061,584551	22,414000	22,420000
301,741	5,958289	-1061,292480	22,407000	22,408000
301,831	5,763840	-1060,951926	22,407000	22,408000
301,917	6,301848	-1060,610198	22,407000	22,408000
301,978	6,458825	-1060,310875	22,407000	22,408000
302,065	6,452281	-1060,048018	22,407000	22,408000
302,094	6,578642	-1059,962171	22,407000	22,408000
302,155	6,460851	-1059,772936	22,407000	22,408000
302,273	6,765691	-1059,413113	22,407000	22,408000
302,388	6,998002	-1059,113030	22,407000	22,408000
302,511	7,019737	-1058,808528	22,407000	22,408000
302,626	6,786180	-1058,539524	22,407000	22,408000
302,774	7,182480	-1058,194826	22,407000	22,408000
302,892	7,429982	-1057,920987	22,407000	22,408000
303,039	7,602385	-1057,710135	22,407000	22,408000
303,072	7,540762	-1057,535335	22,407000	22,408000
303,215	7,625834	-1057,274895	22,410000	22,405000
303,396	7,747755	-1056,915762	22,410000	22,405000
303,539	7,935426	-1056,655737	22,410000	22,405000
303,629	7,981935	-1056,370848	22,410000	22,405000
303,777	8,065449	-1056,033885	22,410000	22,405000
303,868	8,320352	-1055,737049	22,410000	22,405000
303,953	8,304772	-1055,429714	22,410000	22,405000
303,982	8,624258	-1055,350982	22,410000	22,405000
304,072	8,510361	-1055,053800	22,410000	22,405000
304,187	8,767368	-1054,771674	22,410000	22,405000
304,276	8,860230	-1054,501772	22,410000	22,405000
304,453	8,970543	-1054,195128	22,410000	22,405000
304,600	9,114043	-1053,912242	22,397000	22,411000
304,691	9,207528	-1053,618721	22,397000	22,411000
304,777	9,305766	-1053,305033	22,397000	22,411000
304,866	9,527170	-1053,035960	22,397000	22,411000
304,924	9,707286	-1052,814679	22,397000	22,411000
304,952	9,558878	-1052,676689	22,397000	22,411000
305,072	9,836919	-1052,275773	22,397000	22,411000
305,194	9,997636	-1051,889361	22,397000	22,411000
305,341	10,088005	-1051,613796	22,397000	22,411000
305,456	10,265627	-1051,213778	22,397000	22,411000
305,612	10,377498	-1050,926057	22,397000	22,411000
305,730	10,531281	-1050,635851	22,397000	22,411000
305,907	10,133579	-1050,337011	22,397000	22,411000
305,998	10,744038	-1050,133135	22,404000	22,407000
306,058	10,754633	-1050,003018	22,404000	22,407000
306,235	10,842665	-1049,663500	22,404000	22,407000
306,411	10,944175	-1049,329300	22,404000	22,407000
306,553	11,083935	-1049,000556	22,404000	22,407000
306,676	11,223540	-1048,740047	22,404000	22,407000
306,776	11,272542	-1048,453570	22,404000	22,407000
306,893	11,447593	-1048,158598	22,404000	22,407000
306,984	11,591093	-1047,897398	22,404000	22,407000
307,070	11,732490	-1047,578875	22,404000	22,407000
307,102	11,883547	-1047,540959	22,404000	22,407000
307,161	11,849970	-1047,306280	22,404000	22,407000
307,279	11,930445	-1046,912063	22,404000	22,407000
307,397	12,162445	-1046,614536	22,401000	22,409000
307,574	12,167898	-1046,301055	22,401000	22,409000
307,692	12,382213	-1046,007050	22,401000	22,409000
307,779	12,490345	-1045,609242	22,401000	22,409000
307,869	12,765659	-1045,293551	22,401000	22,409000
307,958	12,709957	-1044,942982	22,401000	22,409000
308,074	12,858989	-1044,556708	22,401000	22,409000
308,102	13,173800	-1044,442614	22,401000	22,409000
308,164	13,098389	-1044,306351	22,401000	22,409000
308,249	13,085768	-1043,933199	22,401000	22,409000
308,369	13,510737	-1043,668615	22,401000	22,409000
308,455	13,477628	-1043,411352	22,401000	22,409000
308,577	13,570023	-1043,125635	22,401000	22,409000
308,724	13,676284	-1042,790123	22,401000	22,409000
308,839	13,738997	-1042,526989	22,397000	22,402000
308,987	13,960713	-1042,273386	22,397000	22,402000
309,134	14,059340	-1041,943261	22,397000	22,402000
309,220	14,274123	-1041,791113	22,397000	22,402000
309,282	13,949417	-1041,669354	22,397000	22,402000
309,401	14,159136	-1041,419273	22,397000	22,402000
309,548	14,487581	-1041,091427	22,397000	22,402000
309,634	14,369089	-1040,830849	22,397000	22,402000
309,753	14,621499	-1040,552107	22,397000	22,402000
309,868	14,743497	-1040,285589	22,397000	22,402000
309,957	14,843215	-1039,942342	22,397000	22,402000
310,076	14,813222	-1039,568499	22,397000	22,402000
310,196	15,084875	-1039,260405	22,396000	22,408000
310,281	15,277533	-1039,058669	22,396000	22,408000
310,338	15,254707	-1039,006526	22,396000	22,408000
310,457	15,364162	-1038,711001	22,396000	22,408000
310,633	15,364240	-1038,351938	22,396000	22,408000
310,724	15,653811	-1038,091636	22,396000	22,408000
310,813	15,805569	-1037,697696	22,396000	22,408000
310,904	15,777446	-1037,421440	22,396000	22,408000
311,019	16,068964	-1037,010303	22,396000	22,408000
311,137	16,046216	-1036,655660	22,396000	22,408000
311,166	16,314908	-1036,576029	22,396000	22,408000
311,255	16,303924	-1036,276568	22,396000	22,408000
311,371	16,566618	-1035,939260	22,396000	22,408000
311,518	16,583835	-1035,683723	22,396000	22,408000
311,612	16,649352	-1035,384884	22,393000	22,408000
311,756	16,698900	-1035,078309	22,393000	22,408000
311,878	16,929575	-1034,826986	22,393000	22,408000
312,026	17,073386	-1034,576215	22,393000	22,408000
312,178	16,881196	-1034,199471	22,393000	22,408000
312,321	17,172714	-1033,945454	22,393000	22,408000
312,473	17,223274	-1033,681284	22,393000	22,408000
312,501	17,338261	-1033,647167	22,393000	22,408000
312,558	17,307489	-1033,430168	22,393000	22,408000
312,677	17,412582	-1033,174632	22,393000	22,408000
312,792	17,689922	-1032,853968	22,393000	22,408000
